District,Town,Member,Party,Email,Phone,Committees
73,unorganized territory of Attean Township,Michael Soboleski,R - Phillips,Michael.Soboleski@legislature.maine.gov,(207) 400-7233,Environment and Natural Resources; Labor
88,Auburn (Part),Quentin J. Chapman,R - Auburn,Quentin.Chapman@legislature.maine.gov,(207) 740-5595,Veterans and Legal Affairs
89,Auburn (Part),Adam R. Lee,D - Auburn,Adam.Lee@legislature.maine.gov,(207) 312-4057,Ethics - Chair; Government Oversight Committee; Judiciary
90,Auburn (Part),Laurel D. Libby,R - Auburn,Laurel.Libby@legislature.maine.gov,(207) 632-7619,Labor
59,Augusta (Part),David M. Rollins,D - Augusta,David.Rollins@legislature.maine.gov,(207) 485-6050,State and Local Government
60,Augusta (Part),William R. Bridgeo,D - Augusta,William.Bridgeo@legislature.maine.gov,(207) 458-2939,Environment and Natural Resources; Inland Fisheries and Wildlife
18,Aurora,Mathew David McIntyre,R - Lowell,Mathew.McIntyre@legislature.maine.gov,(207) 680-0678,"Engrossed Bills - Ranking Member; Criminal Justice and Public Safety; Energy, Utilities and Technology"
74,Avon,Randall C. Hall,R - Wilton,Randall.Hall@legislature.maine.gov,(207) 860-8431,Legislative Service:
9,Baileyville,Arthur Kevin Mingo,R - Calais,Arthur.Mingo@legislature.maine.gov,(207) 214-8537,Housing and Economic Development
84,Baldwin,Mark Walker,R - Naples,Mark.Walker@legislature.maine.gov,(207) 272-2728,Housing and Economic Development
8,unorganized territory of Bancroft Township,Tracy L. Quint,R - Hodgdon,Tracy.Quint@legislature.maine.gov,(207) 217-4493,Taxation
21,Bangor (Part),Ambureen Rana,D - Bangor,Ambureen.Rana@legislature.maine.gov,(207) 350-5081,Appropriations and Financial Affairs
22,Bangor (Part),Laura D. Supica,D - Bangor,Laura.Supica@legislature.maine.gov,(207) 717-5702,Veterans and Legal Affairs - Chair
23,Bangor (Part),Amy J. Roeder,D - Bangor,Amy.Roeder@legislature.maine.gov,(207) 370-5517,Labor - Chair
24,Bangor (Part),Sean Faircloth,D - Bangor,Sean.Faircloth@legislature.maine.gov,(207) 307-9868,Veterans and Legal Affairs
14,Bar Harbor,Gary Friedmann,D - Bar Harbor,Gary.Friedmann@legislature.maine.gov,(207) 460-7362,Taxation
9,plantation Baring,Arthur Kevin Mingo,R - Calais,Arthur.Mingo@legislature.maine.gov,(207) 214-8537,Housing and Economic Development
50,Bath,David A. Sinclair,D - Bath,david.sinclair@legislature.maine.gov,(207) 807-1610,Judiciary
11,Beals,Tiffany Strout,R - Harrington,Tiffany.Strout@legislature.maine.gov,(207) 598-7043,Marine Resources
30,Beaver Cove,James Lee White,R - Guilford,James.White@legislature.maine.gov,(207) 564-7308,Transportation
18,Beddington,Mathew David McIntyre,R - Lowell,Mathew.McIntyre@legislature.maine.gov,(207) 680-0678,"Engrossed Bills - Ranking Member; Criminal Justice and Public Safety; Energy, Utilities and Technology"
39,Belfast,Janice S. Dodge,D - Belfast,Jan.Dodge@legislature.maine.gov,(207) 338-1626,Education and Cultural Affairs
58,Belgrade,Sharon C. Frost,U - Belgrade,Sharon.Frost@legislature.maine.gov,(207) 242-6079,"Agriculture, Conservation and Forestry; Veterans and Legal Affairs"
39,Belmont,Janice S. Dodge,D - Belfast,Jan.Dodge@legislature.maine.gov,(207) 338-1626,Education and Cultural Affairs
8,unorganized territory of Benedicta Township,Tracy L. Quint,R - Hodgdon,Tracy.Quint@legislature.maine.gov,(207) 217-4493,Taxation
67,Benton,Shelley Rudnicki,R - Fairfield,Shelley.Rudnicki@legislature.maine.gov,(207) 314-6898,Taxation - Ranking Member
148,Berwick,Thomas A. Lavigne,R - Berwick,Thomas.Lavigne@legislature.maine.gov,(603) 842-0814,Taxation
78,Bethel,Rachel A. Henderson,R - Rumford,Rachel.Henderson@legislature.maine.gov,(207) 381-4237,Judiciary
132,Biddeford (Part),Ryan D. Fecteau,D - Biddeford,ryan.fecteau@legislature.maine.gov,(207) 287-1300,Rules and Business of the House; Joint Select Committee on Joint Rules
133,Biddeford (Part),Marc G. Malon,D - Biddeford,Marc.Malon@legislature.maine.gov,(207) 200-6376,Bills in the Second Reading - Chair; Housing and Economic Development; Veterans and Legal Affairs
134,Biddeford (Part),Traci Gere,D - Kennebunkport,Traci.Gere@legislature.maine.gov,(207) 710-3557,Engrossed Bills; Housing and Economic Development - Chair
72,Bingham,Elizabeth M. Caruso,R - Caratunk,Elizabeth.Caruso@legislature.maine.gov,(207) 399-9992,Leaves of Absence; Judiciary
6,Blaine,Donald J. Ardell,R - Monticello,Donald.Ardell@legislature.maine.gov,(207) 521-1130,Engrossed Bills; Criminal Justice and Public Safety
30,unorganized territory of Blanchard,James Lee White,R - Guilford,James.White@legislature.maine.gov,(207) 564-7308,Transportation
16,Blue Hill,Nina Azella Milliken,D - Blue Hill,Nina.Milliken@legislature.maine.gov,(207) 412-8828,Elections; Criminal Justice and Public Safety
48,Boothbay,Holly B. Stover,D - Boothbay,Holly.Stover@legislature.maine.gov,(207) 633-5979,Ethics; Appropriations and Financial Affairs
48,Boothbay Habor,Holly B. Stover,D - Boothbay,Holly.Stover@legislature.maine.gov,(207) 633-5979,Ethics; Appropriations and Financial Affairs
52,Bowdoin (Part),Sally Jeane Cluchey,D - Bowdoinham,Sally.Cluchey@legislature.maine.gov,(207) 814-8879,"Health Coverage, Insurance and Financial Services; Inland Fisheries and Wildlife"
98,Bowdoin (Part),Kilton M. Webb,D - Durham,Kilton.Webb@legislature.maine.gov,(207) 458-0172,"Energy, Utilities and Technology"
52,Bowdoinham,Sally Jeane Cluchey,D - Bowdoinham,Sally.Cluchey@legislature.maine.gov,(207) 814-8879,"Health Coverage, Insurance and Financial Services; Inland Fisheries and Wildlife"
30,Bowerbank,James Lee White,R - Guilford,James.White@legislature.maine.gov,(207) 564-7308,Transportation
73,unorganized territory of Bowtown Township,Michael Soboleski,R - Phillips,Michael.Soboleski@legislature.maine.gov,(207) 400-7233,Environment and Natural Resources; Labor
27,Bradford (Part),Gary A. Drinkwater,R - Milford,Gary.Drinkwater@legislature.maine.gov,(207) 356-8198,Labor - Ranking Member
32,Bradford (Part),Steven D. Foster,R - Dexter,Steven.Foster@legislature.maine.gov,(207) 924-4409,"Energy, Utilities and Technology - Ranking Member"
26,Bradley,James F. Dill,D - Old Town,James.Dill@legislature.maine.gov,(207) 827-3498,"Elections; Agriculture, Conservation and Forestry; Inland Fisheries and Wildlife"
45,Bremen,Abden S. Simmons,R - Waldoboro,Abden.Simmons@legislature.maine.gov,(207) 446-4518,Marine Resources
20,Brewer (Part),Dani L. O'Halloran,D - Brewer,Dani.OHalloran@legislature.maine.gov,(207) 745-4499,Judiciary
24,Brewer (Part),Sean Faircloth,D - Bangor,Sean.Faircloth@legislature.maine.gov,(207) 307-9868,Veterans and Legal Affairs
6,Bridgewater,Donald J. Ardell,R - Monticello,Donald.Ardell@legislature.maine.gov,(207) 521-1130,Engrossed Bills; Criminal Justice and Public Safety
83,Bridgton,Marygrace Caroline Cimino,R - Bridgton,Marygrace.Cimino@legislature.maine.gov,(804) 380-6101,"Health Coverage, Insurance and Financial Services"
30,plantation Brighton,James Lee White,R - Guilford,James.White@legislature.maine.gov,(207) 564-7308,Transportation
46,Bristol,Lydia V. Crafts,D - Newcastle,Lydia.Crafts@legislature.maine.gov,(207) 593-2664,Elections - Chair; Transportation - Chair
15,Brooklin,Holly Rae Eaton,D - Deer Isle,Holly.Eaton@legislature.maine.gov,(207) 610-9281,Marine Resources; Transportation
38,Brooks,Benjamin C. Hymes,R - Waldo,Benjamin.Hymes@legislature.maine.gov,(207) 808-3413,Veterans and Legal Affairs
16,Brooksville,Nina Azella Milliken,D - Blue Hill,Nina.Milliken@legislature.maine.gov,(207) 412-8828,Elections; Criminal Justice and Public Safety
8,unorganized territory of Brookton Township,Tracy L. Quint,R - Hodgdon,Tracy.Quint@legislature.maine.gov,(207) 217-4493,Taxation
82,Brownfield,Nathan J. Wadsworth,R - Hiram,Nathan.Wadsworth@legislature.maine.gov,(207) 838-7451,"Bills in the Second Reading; Energy, Utilities and Technology"
30,township Brownville,James Lee White,R - Guilford,James.White@legislature.maine.gov,(207) 564-7308,Transportation
31,Brownville,Chad R. Perkins,R - Dover-Foxcroft,Chad.Perkins@legislature.maine.gov,(207) 279-0927,Criminal Justice and Public Safety; Government Oversight Committee
99,Brunswick (Part),Cheryl A. Golek,D - Harpswell,Cheryl.Golek@legislature.maine.gov,(207) 535-9857,Housing and Economic Development; Marine Resources
100,Brunswick (Part),Daniel J. Ankeles,D - Brunswick,Daniel.Ankeles@legislature.maine.gov,(207) 756-3793,Environment and Natural Resources; Transportation
101,Brunswick (Part),Poppy Arford,D - Brunswick,Poppy.Arford@legislature.maine.gov,(207) 522-1997,"Health Coverage, Insurance and Financial Services"
80,Buckfield,Caldwell Jackson,R - Oxford,Caldwell.Jackson@legislature.maine.gov,(207) 272-8543,"Agriculture, Conservation and Forestry"
17,Bucksport,Steven M. Bishop,R - Bucksport,Steven.Bishop@legislature.maine.gov,(207) 991-7909,Transportation
18,Burlington,Mathew David McIntyre,R - Lowell,Mathew.McIntyre@legislature.maine.gov,(207) 680-0678,"Engrossed Bills - Ranking Member; Criminal Justice and Public Safety; Energy, Utilities and Technology"
68,Burnham,Amanda N. Collamore,R - Pittsfield,Amanda.Collamore@legislature.maine.gov,(207) 679-7305,Ethics - Ranking Member; Housing and Economic Development - Ranking Member
137,Buxton (Part),Nathan M. Carlow,R - Buxton,Nathan.Carlow@legislature.maine.gov,(207) 241-9939,Bills in the Second Reading; Education and Cultural Affairs
138,Buxton (Part),Mark John Blier,R - Buxton,Mark.Blier@legislature.maine.gov,(207) 712-5705,Appropriations and Financial Affairs
78,Byron,Rachel A. Henderson,R - Rumford,Rachel.Henderson@legislature.maine.gov,(207) 381-4237,Judiciary
9,Calais,Arthur Kevin Mingo,R - Calais,Arthur.Mingo@legislature.maine.gov,(207) 214-8537,Housing and Economic Development
30,Cambridge,James Lee White,R - Guilford,James.White@legislature.maine.gov,(207) 564-7308,Transportation
41,Camden,Victoria W. Doudera,D - Camden,Vicki.Doudera@legislature.maine.gov,(207) 542-1990,Environment and Natural Resources - Chair
69,Canaan,Dean A. Cray,R - Palmyra,dean.cray@legislature.maine.gov,(207) 478-8279,"Bills in the Second Reading; Agriculture, Conservation and Forestry"
77,Canton,Tammy L. Schmersal-Burgess,R - Mexico,Tammy.Schmersal-Burgess@legislature.maine.gov,(207) 357-7179,Environment and Natural Resources
121,Cape Elizabeth (Part),Christopher J. Kessler,D - South Portland,Christopher.Kessler@legislature.maine.gov,(207) 956-0882,"Bills in the Second Reading; Energy, Utilities and Technology"
123,Cape Elizabeth (Part),Michelle Nicole Boyer,D - Cape Elizabeth,Michelle.Boyer@legislature.maine.gov,(207) 239-6318,"Health Coverage, Insurance and Financial Services"
72,Caratunk,Elizabeth M. Caruso,R - Caratunk,Elizabeth.Caruso@legislature.maine.gov,(207) 399-9992,Leaves of Absence; Judiciary
4,Caribou,Timothy C. Guerrette,R - Caribou,Timothy.Guerrette@legislature.maine.gov,(207) 227-3577,"Agriculture, Conservation and Forestry - Ranking Member"
35,Carmel,James E. Thorne,R - Carmel,Jim.Thorne@legislature.maine.gov,(207) 735-5827,Inland Fisheries and Wildlife; Marine Resources - Ranking Member
73,Carrabassett Valley,Michael Soboleski,R - Phillips,Michael.Soboleski@legislature.maine.gov,(207) 400-7233,Environment and Natural Resources; Labor
8,plantation Carroll,Tracy L. Quint,R - Hodgdon,Tracy.Quint@legislature.maine.gov,(207) 217-4493,Taxation
73,unorganized territory of Carrying Place Township,Michael Soboleski,R - Phillips,Michael.Soboleski@legislature.maine.gov,(207) 400-7233,Environment and Natural Resources; Labor
74,Carthage,Randall C. Hall,R - Wilton,Randall.Hall@legislature.maine.gov,(207) 860-8431,Legislative Service:
8,unorganized territory of Cary Township,Tracy L. Quint,R - Hodgdon,Tracy.Quint@legislature.maine.gov,(207) 217-4493,Taxation
86,Casco,Rolf A. Olsen,R - Raymond,Rolf.Olsen@legislature.maine.gov,(207) 632-1530,"Health Coverage, Insurance and Financial Services"
16,Castine,Nina Azella Milliken,D - Blue Hill,Nina.Milliken@legislature.maine.gov,(207) 412-8828,Elections; Criminal Justice and Public Safety
6,Castle Hill,Donald J. Ardell,R - Monticello,Donald.Ardell@legislature.maine.gov,(207) 521-1130,Engrossed Bills; Criminal Justice and Public Safety
3,Caswell,Mark Michael Babin,R - Fort Fairfield,Mark.Babin@legislature.maine.gov,(207) 227-0198,Judiciary
10,unorganized territory of Cathance Township,William R. Tuell,R - East Machias,William.tuell@legislature.maine.gov,(207) 271-8521,State and Local Government
11,unorganized territory of Centerville Township,Tiffany Strout,R - Harrington,Tiffany.Strout@legislature.maine.gov,(207) 598-7043,Marine Resources
6,unorganized territory of Central Aroostook,Donald J. Ardell,R - Monticello,Donald.Ardell@legislature.maine.gov,(207) 521-1130,Engrossed Bills; Criminal Justice and Public Safety
13,Central Hancock,Russell P. White,R - Ellsworth,Russell.White@legislature.maine.gov,(207) 460-6359,Taxation
72,Central Somerset,Elizabeth M. Caruso,R - Caratunk,Elizabeth.Caruso@legislature.maine.gov,(207) 399-9992,Leaves of Absence; Judiciary
6,Chapman,Donald J. Ardell,R - Monticello,Donald.Ardell@legislature.maine.gov,(207) 521-1130,Engrossed Bills; Criminal Justice and Public Safety
32,Charleston,Steven D. Foster,R - Dexter,Steven.Foster@legislature.maine.gov,(207) 924-4409,"Energy, Utilities and Technology - Ranking Member"
10,Charlotte,William R. Tuell,R - East Machias,William.tuell@legislature.maine.gov,(207) 271-8521,State and Local Government
110,Chebeague Island,Christina R.C. Mitchell,D - Cumberland,Christina.Mitchell@legislature.maine.gov,(207) 829-6307,Education and Cultural Affairs
53,Chelsea,Michael H. Lemelin,R - Chelsea,Michael.Lemelin@legislature.maine.gov,(207) 798-9399,Government Oversight Committee - Ranking Member; Health and Human Services
18,Cherryfield,Mathew David McIntyre,R - Lowell,Mathew.McIntyre@legislature.maine.gov,(207) 680-0678,"Engrossed Bills - Ranking Member; Criminal Justice and Public Safety; Energy, Utilities and Technology"
29,Chester,Kathy Irene Javner,R - Chester,Kathy.Javner@legislature.maine.gov,(207) 290-1321,Health and Human Services - Ranking Member
75,Chesterville,Stephan M. Bunker,D - Farmington,Stephan.Bunker@legislature.maine.gov,(207) 592-1247,"Agriculture, Conservation and Forestry; Criminal Justice and Public Safety"
62,China,Katrina J. Smith,R - Palermo,Katrina.Smith@legislature.maine.gov,(207) 230-9583,Ethics; Rules and Business of the House; Joint Select Committee on Joint Rules
18,Clifton,Mathew David McIntyre,R - Lowell,Mathew.McIntyre@legislature.maine.gov,(207) 680-0678,"Engrossed Bills - Ranking Member; Criminal Justice and Public Safety; Energy, Utilities and Technology"
68,Clinton,Amanda N. Collamore,R - Pittsfield,Amanda.Collamore@legislature.maine.gov,(207) 679-7305,Ethics - Ranking Member; Housing and Economic Development - Ranking Member
8,unorganized territory of Codyville Township,Tracy L. Quint,R - Hodgdon,Tracy.Quint@legislature.maine.gov,(207) 217-4493,Taxation
11,Columbia,Tiffany Strout,R - Harrington,Tiffany.Strout@legislature.maine.gov,(207) 598-7043,Marine Resources
11,Columbia Falls,Tiffany Strout,R - Harrington,Tiffany.Strout@legislature.maine.gov,(207) 598-7043,Marine Resources
72,unorganized territory of Concord Township,Elizabeth M. Caruso,R - Caratunk,Elizabeth.Caruso@legislature.maine.gov,(207) 399-9992,Leaves of Absence; Judiciary
3,township Connor,Mark Michael Babin,R - Fort Fairfield,Mark.Babin@legislature.maine.gov,(207) 227-0198,Judiciary
10,Cooper,William R. Tuell,R - East Machias,William.tuell@legislature.maine.gov,(207) 271-8521,State and Local Government
73,plantation Coplin,Michael Soboleski,R - Phillips,Michael.Soboleski@legislature.maine.gov,(207) 400-7233,Environment and Natural Resources; Labor
33,Corinna,Kenneth Wade Fredette,R - Newport,Kenneth.Fredette@legislature.maine.gov,(207) 287-1440,Appropriations and Financial Affairs
27,Corinth,Gary A. Drinkwater,R - Milford,Gary.Drinkwater@legislature.maine.gov,(207) 356-8198,Labor - Ranking Member
138,Cornish,Mark John Blier,R - Buxton,Mark.Blier@legislature.maine.gov,(207) 712-5705,Appropriations and Financial Affairs
71,Cornville,"John ""Jack"" E. Ducharme",R - Madison,Jack.Ducharme@legislature.maine.gov,(207) 431-0775,Appropriations and Financial Affairs - Ranking Member
14,Cranberry Isles,Gary Friedmann,D - Bar Harbor,Gary.Friedmann@legislature.maine.gov,(207) 460-7362,Taxation
10,Crawford,William R. Tuell,R - East Machias,William.tuell@legislature.maine.gov,(207) 271-8521,State and Local Government
42,unorganized territory of Criehaven Township,Valli D. Geiger,D - Rockland,Valli.Geiger@legislature.maine.gov,(207) 956-1565,"Energy, Utilities and Technology; Labor"
2,unorganized territory of Cross Lake Township,Roger Clarence Albert,R - Madawaska,Roger.Albert@legislature.maine.gov,(207) 436-9156,Transportation
8,Crystal,Tracy L. Quint,R - Hodgdon,Tracy.Quint@legislature.maine.gov,(207) 217-4493,Taxation
110,Cumberland,Christina R.C. Mitchell,D - Cumberland,Christina.Mitchell@legislature.maine.gov,(207) 829-6307,Education and Cultural Affairs
43,Cushing,Ann Higgins Matlack,D - St. George,Ann.Matlack@legislature.maine.gov,(207) 691-1474,Government Oversight Committee; State and Local Government; Taxation
10,Cutler,William R. Tuell,R - East Machias,William.tuell@legislature.maine.gov,(207) 271-8521,State and Local Government
3,plantation Cyr,Mark Michael Babin,R - Fort Fairfield,Mark.Babin@legislature.maine.gov,(207) 227-0198,Judiciary
73,plantation Dallas,Michael Soboleski,R - Phillips,Michael.Soboleski@legislature.maine.gov,(207) 400-7233,Environment and Natural Resources; Labor
46,Damariscotta,Lydia V. Crafts,D - Newcastle,Lydia.Crafts@legislature.maine.gov,(207) 593-2664,Elections - Chair; Transportation - Chair
8,Danforth,Tracy L. Quint,R - Hodgdon,Tracy.Quint@legislature.maine.gov,(207) 217-4493,Taxation
18,unorganized territory of Day Block Township,Mathew David McIntyre,R - Lowell,Mathew.McIntyre@legislature.maine.gov,(207) 680-0678,"Engrossed Bills - Ranking Member; Criminal Justice and Public Safety; Energy, Utilities and Technology"
140,Dayton,Wayne R. Parry,R - Arundel,Wayne.Parry@legislature.maine.gov,(207) 286-9146,Transportation - Ranking Member
18,Deblois,Mathew David McIntyre,R - Lowell,Mathew.McIntyre@legislature.maine.gov,(207) 680-0678,"Engrossed Bills - Ranking Member; Criminal Justice and Public Safety; Energy, Utilities and Technology"
18,Dedham,Mathew David McIntyre,R - Lowell,Mathew.McIntyre@legislature.maine.gov,(207) 680-0678,"Engrossed Bills - Ranking Member; Criminal Justice and Public Safety; Energy, Utilities and Technology"
15,Deer Isle,Holly Rae Eaton,D - Deer Isle,Holly.Eaton@legislature.maine.gov,(207) 610-9281,Marine Resources; Transportation
83,Denmark,Marygrace Caroline Cimino,R - Bridgton,Marygrace.Cimino@legislature.maine.gov,(804) 380-6101,"Health Coverage, Insurance and Financial Services"
73,plantation Dennistown,Michael Soboleski,R - Phillips,Michael.Soboleski@legislature.maine.gov,(207) 400-7233,Environment and Natural Resources; Labor
10,Dennysville,William R. Tuell,R - East Machias,William.tuell@legislature.maine.gov,(207) 271-8521,State and Local Government
69,Detroit,Dean A. Cray,R - Palmyra,dean.cray@legislature.maine.gov,(207) 478-8279,"Bills in the Second Reading; Agriculture, Conservation and Forestry"
32,Dexter,Steven D. Foster,R - Dexter,Steven.Foster@legislature.maine.gov,(207) 924-4409,"Energy, Utilities and Technology - Ranking Member"
77,Dixfield,Tammy L. Schmersal-Burgess,R - Mexico,Tammy.Schmersal-Burgess@legislature.maine.gov,(207) 357-7179,Environment and Natural Resources
33,Dixmont,Kenneth Wade Fredette,R - Newport,Kenneth.Fredette@legislature.maine.gov,(207) 287-1440,Appropriations and Financial Affairs
31,Dover-Foxcroft,Chad R. Perkins,R - Dover-Foxcroft,Chad.Perkins@legislature.maine.gov,(207) 279-0927,Criminal Justice and Public Safety; Government Oversight Committee
53,Dresden,Michael H. Lemelin,R - Chelsea,Michael.Lemelin@legislature.maine.gov,(207) 798-9399,Government Oversight Committee - Ranking Member; Health and Human Services
8,unorganized territory of Drew Township,Tracy L. Quint,R - Hodgdon,Tracy.Quint@legislature.maine.gov,(207) 217-4493,Taxation
98,Durham,Kilton M. Webb,D - Durham,Kilton.Webb@legislature.maine.gov,(207) 458-0172,"Energy, Utilities and Technology"
6,Dyer Brook,Donald J. Ardell,R - Monticello,Donald.Ardell@legislature.maine.gov,(207) 521-1130,Engrossed Bills; Criminal Justice and Public Safety
6,unorganized territory of E Township,Donald J. Ardell,R - Monticello,Donald.Ardell@legislature.maine.gov,(207) 521-1130,Engrossed Bills; Criminal Justice and Public Safety
1,Eagle Lake,Lucien J.B. Daigle,R - Fort Kent,Lucien.Daigle@legislature.maine.gov,(207) 631-8082,Health and Human Services
73,unorganized territory of East Central Franklin,Michael Soboleski,R - Phillips,Michael.Soboleski@legislature.maine.gov,(207) 400-7233,Environment and Natural Resources; Labor
18,East Central Penobscot,Mathew David McIntyre,R - Lowell,Mathew.McIntyre@legislature.maine.gov,(207) 680-0678,"Engrossed Bills - Ranking Member; Criminal Justice and Public Safety; Energy, Utilities and Technology"
10,unorganized territory of East Central Washington,William R. Tuell,R - East Machias,William.tuell@legislature.maine.gov,(207) 271-8521,State and Local Government
18,unorganized territory of East Hancock,Mathew David McIntyre,R - Lowell,Mathew.McIntyre@legislature.maine.gov,(207) 680-0678,"Engrossed Bills - Ranking Member; Criminal Justice and Public Safety; Energy, Utilities and Technology"
10,East Machias,William R. Tuell,R - East Machias,William.tuell@legislature.maine.gov,(207) 271-8521,State and Local Government
29,East Millinocket,Kathy Irene Javner,R - Chester,Kathy.Javner@legislature.maine.gov,(207) 290-1321,Health and Human Services - Ranking Member
18,Eastbrook,Mathew David McIntyre,R - Lowell,Mathew.McIntyre@legislature.maine.gov,(207) 680-0678,"Engrossed Bills - Ranking Member; Criminal Justice and Public Safety; Energy, Utilities and Technology"
3,Easton,Mark Michael Babin,R - Fort Fairfield,Mark.Babin@legislature.maine.gov,(207) 227-0198,Judiciary
9,Eastport,Arthur Kevin Mingo,R - Calais,Arthur.Mingo@legislature.maine.gov,(207) 214-8537,Housing and Economic Development
19,Eddington,Richard H. Campbell,R - Orrington,Richard.Campbell@legislature.maine.gov,(207) 745-7748,Ethics; Rules and Business of the House - Ranking Member; Environment and Natural Resources - Ranking Member
48,Edgecomb,Holly B. Stover,D - Boothbay,Holly.Stover@legislature.maine.gov,(207) 633-5979,Ethics; Appropriations and Financial Affairs
28,Edinburg,Irene A. Gifford,R - Lincoln,Irene.Gifford@legislature.maine.gov,(207) 290-5087,Engrossed Bills; Marine Resources
10,unorganized territory of Edmunds Township,William R. Tuell,R - East Machias,William.tuell@legislature.maine.gov,(207) 271-8521,State and Local Government
150,Eliot,Michele Meyer,D - Eliot,Michele.Meyer@legislature.maine.gov,(207) 438-9197,Health and Human Services - Chair
13,Ellsworth,Russell P. White,R - Ellsworth,Russell.White@legislature.maine.gov,(207) 460-6359,Taxation
72,Embden,Elizabeth M. Caruso,R - Caratunk,Elizabeth.Caruso@legislature.maine.gov,(207) 399-9992,Leaves of Absence; Judiciary
28,Enfield,Irene A. Gifford,R - Lincoln,Irene.Gifford@legislature.maine.gov,(207) 290-5087,Engrossed Bills; Marine Resources
33,Etna,Kenneth Wade Fredette,R - Newport,Kenneth.Fredette@legislature.maine.gov,(207) 287-1440,Appropriations and Financial Affairs
73,Eustis,Michael Soboleski,R - Phillips,Michael.Soboleski@legislature.maine.gov,(207) 400-7233,Environment and Natural Resources; Labor
32,Exeter,Steven D. Foster,R - Dexter,Steven.Foster@legislature.maine.gov,(207) 924-4409,"Energy, Utilities and Technology - Ranking Member"
67,Fairfield,Shelley Rudnicki,R - Fairfield,Shelley.Rudnicki@legislature.maine.gov,(207) 314-6898,Taxation - Ranking Member
111,Falmouth (Part),Amy D. Kuhn,D - Falmouth,Amy.Kuhn@legislature.maine.gov,(207) 939-6903,Ethics; Judiciary - Chair
112,Falmouth (Part),W. Edward Crockett,D - Portland,Ed.Crockett@legislature.maine.gov,(207) 797-8371,Elections; Education and Cultural Affairs; Taxation
54,Farmingdale,Karen L. Montell,D - Gardiner,Karen.Montell@legislature.maine.gov,(207) 513-0102,Transportation
75,Farmington,Stephan M. Bunker,D - Farmington,Stephan.Bunker@legislature.maine.gov,(207) 592-1247,"Agriculture, Conservation and Forestry; Criminal Justice and Public Safety"
58,Fayette,Sharon C. Frost,U - Belgrade,Sharon.Frost@legislature.maine.gov,(207) 242-6079,"Agriculture, Conservation and Forestry; Veterans and Legal Affairs"
13,unorganized territory of Fletchers Landing Township,Russell P. White,R - Ellsworth,Russell.White@legislature.maine.gov,(207) 460-6359,Taxation
